baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1358	1794.54030368408	-1.50157811612558	0.349515396221623	-4.29617159174713	1.73773091611591e-05	0.00379712272972161
1809	391.820882709789	-1.23279765471535	0.2612423946464	-4.71898007359784	2.37030033974516e-06	0.00107925540064018
4852	1677.33306016975	-1.44036245751574	0.382013846656506	-3.77044567918729	0.000162956270818013	0.0172366824949749
5105	411.255242769487	-1.87927372468757	0.41003175965858	-4.58323942089846	4.5782732059928e-06	0.00167340378997667
5699///1506	214.944212314824	-1.07305873428461	0.234686140816401	-4.57231402992851	4.82367285633843e-06	0.00167340378997667
8459	284.683404661216	-1.29405640676724	0.344596582836185	-3.75527927792135	0.000173148295930475	0.0175081234596965
1908	2912.44643911064	1.07600340053641	0.235490234972079	4.56920602531135	4.89575342586282e-06	0.00167340378997667
6514	203.108315220238	1.78773889433142	0.293905725499588	6.08269502505464	1.18179010871845e-09	3.98192359231595e-06
602	134.243214775077	-1.21697677841127	0.357527653769784	-3.40386754864813	0.000664389612875297	0.0380713326806467
6357	24.323304582263	-1.82087308566819	0.469847413760557	-3.87545622757465	0.000106425110685603	0.0135829078766694
10263	151.422545273986	1.35267655524327	0.233455423507166	5.79415348301706	6.86666407054882e-09	1.4460336199567e-05
8842	37.0389266468517	-1.41609558551044	0.41696697306026	-3.39618165706805	0.000683329926651785	0.0388920921429143
10343	14.9344184249226	1.05954516446802	0.268061799574496	3.95261527808091	7.73016678528694e-05	0.0107628198208041
4837	680.369346299924	-1.48356818382668	0.434125649039052	-3.41737049425804	0.000632291684260602	0.0369071920896932
100128146///8125	31.4716154811287	1.07898851771303	0.312745116403847	3.45005712677457	0.000560467937998593	0.0342108817081967
10066	344.109567985386	-1.07220356910019	0.302901899410514	-3.53977169237579	0.000400473316967028	0.0278408486202602
5967	1577.78026106741	-2.05267128576744	0.433642124736109	-4.73356062217568	2.20615030497079e-06	0.00103241706077342
10930	463.717624761692	-1.02689762632213	0.272386161198071	-3.77000660314531	0.000163243228303084	0.0172366824949749
10125	204.586487272421	1.08210065227708	0.295662544517265	3.65991794477669	0.000252296026431617	0.0215757926766165
23566	60.2341779797653	1.03498161985591	0.226385328224619	4.57176985793444	4.83621940682086e-06	0.00167340378997667
26577	225.890122029451	-3.0169627335259	0.418487103394214	-7.20921316106585	5.62761079407739e-13	9.48083590478217e-09
29951	52.2183639633967	-1.06338584393823	0.314297961023361	-3.38336857317121	0.000716024687605642	0.0399432712320936
29842	345.959214516819	1.05750597872713	0.309424909239365	3.41764979854632	0.000631643238743078	0.0369071920896932
9899	207.670060113973	-1.56783006252929	0.290936684804061	-5.38890468070464	7.08883887780556e-08	7.02503932790531e-05
23643	16.9903520120601	-2.10319386209824	0.497639694290237	-4.22633862657989	2.37524469501175e-05	0.00470773498551328
